Material,Weight (kg),Transport Distance (km),Region,Virgin CO₂ (kg),Process CO₂ (kg),Transport CO₂ (kg),Net CO₂ Saved (kg)
E-waste,8.62,75,USA,103.44,10.344,0.078,93.018
Glass,3.53,50,EU,5.648,3.883,0.021,1.744
E-waste,2.92,5,USA,35.04,3.504,0.002,31.534
Paper,4.34,10,India,11.718,8.68,0.005,3.033
Plastic,0.33,25,India,1.98,0.66,0.001,1.319
Paper,9.38,25,USA,25.326,11.256,0.028,14.042
Paper,7.02,10,India,18.954,14.04,0.008,4.906
Clothes,1.0,100,Germany,8.0,0.5,0.012,7.488
E-waste,5.56,5,Germany,66.72,2.78,0.003,63.937
Paper,1.0,100,Germany,2.7,0.5,0.012,2.188
Plastic,4.75,75,India,28.5,9.5,0.043,18.957
Books,2.56,5,EU,6.4,2.816,0.002,3.582
E-waste,1.05,10,EU,12.6,1.155,0.001,11.444
Paper,4.91,75,EU,13.257,5.401,0.044,7.812
Glass,2.58,25,Germany,4.128,1.29,0.008,2.83
Glass,1.82,10,USA,2.912,2.184,0.002,0.726
Paper,6.24,100,India,16.848,12.48,0.075,4.293
E-waste,0.92,100,India,11.04,1.84,0.011,9.189
Paper,1.46,25,India,3.942,2.92,0.004,1.018
Books,0.56,50,EU,1.4,0.616,0.003,0.781
Glass,9.16,5,USA,14.656,10.992,0.005,3.659
Clothes,8.74,5,Germany,69.92,4.37,0.005,65.545
Books,4.48,50,USA,11.2,5.376,0.027,5.797
Clothes,7.4,75,Germany,59.2,3.7,0.067,55.433
Books,8.61,5,EU,21.525,9.471,0.005,12.049
Paper,8.3,5,USA,22.41,9.96,0.005,12.445
Glass,7.37,25,Germany,11.792,3.685,0.022,8.085
E-waste,9.43,5,India,113.16,18.86,0.006,94.294
Plastic,3.53,10,EU,21.18,3.883,0.004,17.293
E-waste,8.23,5,EU,98.76,9.053,0.005,89.702
E-waste,6.25,100,Germany,75.0,3.125,0.075,71.8
E-waste,3.58,75,Germany,42.96,1.79,0.032,41.138
Glass,4.6,75,USA,7.36,5.52,0.041,1.799
E-waste,2.09,10,India,25.08,4.18,0.003,20.897
E-waste,9.07,100,India,108.84,18.14,0.109,90.591
E-waste,5.12,5,India,61.44,10.24,0.003,51.197
Books,9.46,10,Germany,23.65,4.73,0.011,18.909
Plastic,5.71,75,EU,34.26,6.281,0.051,27.928
Clothes,5.81,50,EU,46.48,6.391,0.035,40.054
Books,2.18,5,EU,5.45,2.398,0.001,3.051
Glass,3.61,5,USA,5.776,4.332,0.002,1.442
Paper,1.56,100,USA,4.212,1.872,0.019,2.321
Glass,1.83,5,India,2.928,3.66,0.001,0.0
Clothes,7.19,75,India,57.52,14.38,0.065,43.075
E-waste,2.44,100,EU,29.28,2.684,0.029,26.567
Paper,6.89,5,EU,18.603,7.579,0.004,11.02
Plastic,7.55,10,EU,45.3,8.305,0.009,36.986
Plastic,7.36,100,EU,44.16,8.096,0.088,35.976
Plastic,3.31,25,EU,19.86,3.641,0.01,16.209
Clothes,1.94,100,USA,15.52,2.328,0.023,13.169
Plastic,9.8,10,EU,58.8,10.78,0.012,48.008
Plastic,8.0,10,India,48.0,16.0,0.01,31.99
Books,8.57,25,EU,21.425,9.427,0.026,11.972
Plastic,4.86,75,USA,29.16,5.832,0.044,23.284
E-waste,5.95,5,Germany,71.4,2.975,0.004,68.421
Glass,8.31,10,EU,13.296,9.141,0.01,4.145
Paper,5.93,5,Germany,16.011,2.965,0.004,13.042
Glass,2.44,25,Germany,3.904,1.22,0.007,2.677
E-waste,6.5,10,India,78.0,13.0,0.008,64.992
Glass,3.9,10,India,6.24,7.8,0.005,0.0
Clothes,0.26,10,EU,2.08,0.286,0.0,1.794
Paper,1.28,75,USA,3.456,1.536,0.012,1.908
Paper,4.86,25,EU,13.122,5.346,0.015,7.761
Paper,4.06,10,India,10.962,8.12,0.005,2.837
E-waste,1.82,25,India,21.84,3.64,0.005,18.195
Clothes,2.1,25,Germany,16.8,1.05,0.006,15.744
Glass,6.54,10,USA,10.464,7.848,0.008,2.608
Plastic,2.58,5,EU,15.48,2.838,0.002,12.64
Glass,4.92,5,Germany,7.872,2.46,0.003,5.409
Plastic,9.98,100,India,59.88,19.96,0.12,39.8
Books,4.81,100,Germany,12.025,2.405,0.058,9.562
Paper,2.93,10,EU,7.911,3.223,0.004,4.684
Clothes,6.98,5,EU,55.84,7.678,0.004,48.158
E-waste,8.4,100,India,100.8,16.8,0.101,83.899
Books,6.11,10,USA,15.275,7.332,0.007,7.936
Glass,9.28,75,India,14.848,18.56,0.084,0.0
E-waste,5.98,75,India,71.76,11.96,0.054,59.746
Books,6.04,75,Germany,15.1,3.02,0.054,12.026
Books,6.74,100,India,16.85,13.48,0.081,3.289
E-waste,1.37,100,Germany,16.44,0.685,0.016,15.739
Paper,5.88,50,EU,15.876,6.468,0.035,9.373
Plastic,3.28,25,India,19.68,6.56,0.01,13.11
Plastic,2.49,10,Germany,14.94,1.245,0.003,13.692
Clothes,8.17,5,USA,65.36,9.804,0.005,55.551
Glass,1.35,10,USA,2.16,1.62,0.002,0.538
Paper,9.05,5,EU,24.435,9.955,0.005,14.475
Books,1.14,75,India,2.85,2.28,0.01,0.56
Paper,4.17,75,EU,11.259,4.587,0.038,6.634
E-waste,2.71,5,India,32.52,5.42,0.002,27.098
Clothes,8.21,100,EU,65.68,9.031,0.099,56.55
Plastic,2.13,100,USA,12.78,2.556,0.026,10.198
Books,8.24,25,EU,20.6,9.064,0.025,11.511
Paper,9.74,100,India,26.298,19.48,0.117,6.701
E-waste,4.87,5,USA,58.44,5.844,0.003,52.593
Glass,8.04,100,USA,12.864,9.648,0.096,3.12
Clothes,9.5,5,EU,76.0,10.45,0.006,65.544
E-waste,2.02,5,India,24.24,4.04,0.001,20.199
E-waste,6.41,75,EU,76.92,7.051,0.058,69.811
E-waste,2.92,100,India,35.04,5.84,0.035,29.165
Clothes,0.23,50,EU,1.84,0.253,0.001,1.586
Books,3.06,100,India,7.65,6.12,0.037,1.493
Glass,6.9,5,India,11.04,13.8,0.004,0.0
Books,7.28,10,India,18.2,14.56,0.009,3.631
Books,7.9,25,Germany,19.75,3.95,0.024,15.776
Plastic,6.25,5,Germany,37.5,3.125,0.004,34.371
Plastic,6.5,75,EU,39.0,7.15,0.058,31.792
Glass,3.72,10,USA,5.952,4.464,0.004,1.484
Plastic,8.11,10,EU,48.66,8.921,0.01,39.729
E-waste,3.97,75,EU,47.64,4.367,0.036,43.237
Clothes,4.64,50,India,37.12,9.28,0.028,27.812
Glass,6.06,10,Germany,9.696,3.03,0.007,6.659
Books,4.38,25,Germany,10.95,2.19,0.013,8.747
Paper,2.79,10,EU,7.533,3.069,0.003,4.461
Paper,1.81,5,USA,4.887,2.172,0.001,2.714
Plastic,4.3,75,USA,25.8,5.16,0.039,20.601
E-waste,5.96,50,USA,71.52,7.152,0.036,64.332
Plastic,9.78,50,USA,58.68,11.736,0.059,46.885
Clothes,0.72,100,Germany,5.76,0.36,0.009,5.391
Paper,5.61,50,USA,15.147,6.732,0.034,8.381
Plastic,2.06,10,EU,12.36,2.266,0.002,10.092
Books,5.14,10,India,12.85,10.28,0.006,2.564
E-waste,1.66,50,Germany,19.92,0.83,0.01,19.08
E-waste,9.18,5,USA,110.16,11.016,0.006,99.138
Paper,6.93,25,India,18.711,13.86,0.021,4.83
Glass,1.16,75,EU,1.856,1.276,0.01,0.57
E-waste,4.86,25,Germany,58.32,2.43,0.015,55.875
E-waste,2.6,50,USA,31.2,3.12,0.016,28.064
Glass,8.07,75,USA,12.912,9.684,0.073,3.155
Clothes,2.99,25,EU,23.92,3.289,0.009,20.622
E-waste,7.2,25,Germany,86.4,3.6,0.022,82.778
Plastic,3.87,100,India,23.22,7.74,0.046,15.434
Paper,0.39,10,Germany,1.053,0.195,0.0,0.858
E-waste,3.85,100,Germany,46.2,1.925,0.046,44.229
Plastic,9.83,5,EU,58.98,10.813,0.006,48.161
Clothes,5.52,5,India,44.16,11.04,0.003,33.117
Clothes,4.51,100,USA,36.08,5.412,0.054,30.614
Clothes,1.0,5,USA,8.0,1.2,0.001,6.799
Paper,5.89,5,EU,15.903,6.479,0.004,9.42
E-waste,2.64,100,USA,31.68,3.168,0.032,28.48
Paper,4.17,25,India,11.259,8.34,0.013,2.906
Glass,6.92,100,Germany,11.072,3.46,0.083,7.529
Glass,1.07,50,India,1.712,2.14,0.006,0.0
E-waste,3.72,50,India,44.64,7.44,0.022,37.178
Paper,9.78,50,Germany,26.406,4.89,0.059,21.457
Books,3.4,75,USA,8.5,4.08,0.031,4.389
E-waste,3.39,100,Germany,40.68,1.695,0.041,38.944
Clothes,7.9,100,EU,63.2,8.69,0.095,54.415
Paper,0.21,50,Germany,0.567,0.105,0.001,0.461
Clothes,0.36,100,EU,2.88,0.396,0.004,2.48
Plastic,2.85,50,Germany,17.1,1.425,0.017,15.658
Books,8.55,50,Germany,21.375,4.275,0.051,17.049
Glass,1.92,5,India,3.072,3.84,0.001,0.0
Glass,0.29,100,India,0.464,0.58,0.003,0.0
Plastic,2.55,10,India,15.3,5.1,0.003,10.197
Clothes,7.56,10,India,60.48,15.12,0.009,45.351
Plastic,0.45,10,EU,2.7,0.495,0.001,2.204
E-waste,5.85,100,EU,70.2,6.435,0.07,63.695
Plastic,3.11,100,USA,18.66,3.732,0.037,14.891
E-waste,2.34,100,USA,28.08,2.808,0.028,25.244
Books,6.57,50,India,16.425,13.14,0.039,3.246
Clothes,9.34,50,India,74.72,18.68,0.056,55.984
Plastic,5.65,100,India,33.9,11.3,0.068,22.532
Glass,7.38,75,Germany,11.808,3.69,0.066,8.052
Books,7.16,25,USA,17.9,8.592,0.021,9.287
Clothes,5.11,10,India,40.88,10.22,0.006,30.654
Paper,5.77,100,India,15.579,11.54,0.069,3.97
Books,4.28,75,USA,10.7,5.136,0.039,5.525
Glass,9.6,100,USA,15.36,11.52,0.115,3.725
Books,6.8,100,Germany,17.0,3.4,0.082,13.518
Plastic,1.61,100,EU,9.66,1.771,0.019,7.87
Clothes,4.98,5,Germany,39.84,2.49,0.003,37.347
E-waste,2.36,75,India,28.32,4.72,0.021,23.579
Books,6.4,100,India,16.0,12.8,0.077,3.123
Plastic,7.97,25,USA,47.82,9.564,0.024,38.232
Glass,9.01,50,USA,14.416,10.812,0.054,3.55
Paper,1.02,5,India,2.754,2.04,0.001,0.713
Books,6.71,50,EU,16.775,7.381,0.04,9.354
Plastic,2.44,5,Germany,14.64,1.22,0.001,13.419
Glass,1.48,75,Germany,2.368,0.74,0.013,1.615
Glass,5.71,25,India,9.136,11.42,0.017,0.0
Paper,5.49,10,Germany,14.823,2.745,0.007,12.071
Glass,6.76,50,Germany,10.816,3.38,0.041,7.395
Plastic,4.04,5,USA,24.24,4.848,0.002,19.39
Glass,5.69,10,India,9.104,11.38,0.007,0.0
Books,1.46,50,USA,3.65,1.752,0.009,1.889
Plastic,0.89,75,Germany,5.34,0.445,0.008,4.887
Plastic,3.03,10,USA,18.18,3.636,0.004,14.54
Books,7.83,75,EU,19.575,8.613,0.07,10.892
Plastic,6.71,25,India,40.26,13.42,0.02,26.82
Clothes,8.51,50,India,68.08,17.02,0.051,51.009
Books,8.97,50,USA,22.425,10.764,0.054,11.607
Clothes,6.83,5,India,54.64,13.66,0.004,40.976
Glass,1.14,25,USA,1.824,1.368,0.003,0.453
Paper,1.35,50,Germany,3.645,0.675,0.008,2.962
Glass,3.13,100,USA,5.008,3.756,0.038,1.214
Clothes,3.96,5,USA,31.68,4.752,0.002,26.926
Paper,9.17,100,India,24.759,18.34,0.11,6.309
Glass,7.01,100,EU,11.216,7.711,0.084,3.421
Clothes,7.81,5,USA,62.48,9.372,0.005,53.103
Glass,3.08,10,India,4.928,6.16,0.004,0.0
Clothes,3.98,75,India,31.84,7.96,0.036,23.844
E-waste,0.47,100,EU,5.64,0.517,0.006,5.117
Plastic,4.37,50,USA,26.22,5.244,0.026,20.95
Plastic,1.05,75,Germany,6.3,0.525,0.009,5.766
Glass,5.49,25,EU,8.784,6.039,0.016,2.729
E-waste,3.13,5,EU,37.56,3.443,0.002,34.115
Glass,7.37,75,India,11.792,14.74,0.066,0.0
E-waste,5.02,25,India,60.24,10.04,0.015,50.185
Glass,6.99,25,Germany,11.184,3.495,0.021,7.668
E-waste,0.97,10,Germany,11.64,0.485,0.001,11.154
Plastic,6.7,75,India,40.2,13.4,0.06,26.74
E-waste,2.73,50,EU,32.76,3.003,0.016,29.741
Paper,7.21,50,EU,19.467,7.931,0.043,11.493
Glass,6.96,25,India,11.136,13.92,0.021,0.0
Plastic,7.91,5,Germany,47.46,3.955,0.005,43.5
E-waste,1.15,10,USA,13.8,1.38,0.001,12.419
E-waste,9.24,50,USA,110.88,11.088,0.055,99.737
Glass,2.21,5,India,3.536,4.42,0.001,0.0
Glass,7.98,5,Germany,12.768,3.99,0.005,8.773
Books,8.49,100,EU,21.225,9.339,0.102,11.784
Clothes,6.78,25,India,54.24,13.56,0.02,40.66
Plastic,7.21,10,Germany,43.26,3.605,0.009,39.646
Paper,4.48,10,India,12.096,8.96,0.005,3.131
Books,9.09,50,India,22.725,18.18,0.055,4.49
Clothes,5.0,100,India,40.0,10.0,0.06,29.94
Clothes,6.54,10,Germany,52.32,3.27,0.008,49.042
Paper,6.37,50,EU,17.199,7.007,0.038,10.154
Clothes,8.04,10,EU,64.32,8.844,0.01,55.466
Books,1.44,75,India,3.6,2.88,0.013,0.707
Glass,1.55,5,USA,2.48,1.86,0.001,0.619
Paper,6.6,10,USA,17.82,7.92,0.008,9.892
Glass,1.38,100,EU,2.208,1.518,0.017,0.673
Paper,2.69,50,USA,7.263,3.228,0.016,4.019
Paper,1.05,10,India,2.835,2.1,0.001,0.734
Paper,3.8,75,EU,10.26,4.18,0.034,6.046
Clothes,7.57,50,EU,60.56,8.327,0.045,52.188
E-waste,4.5,50,India,54.0,9.0,0.027,44.973
Glass,5.67,5,Germany,9.072,2.835,0.003,6.234
E-waste,2.76,50,EU,33.12,3.036,0.017,30.067
E-waste,3.36,5,India,40.32,6.72,0.002,33.598
E-waste,8.21,50,Germany,98.52,4.105,0.049,94.366
Plastic,1.08,50,Germany,6.48,0.54,0.006,5.934
Paper,8.95,25,Germany,24.165,4.475,0.027,19.663
Glass,2.66,75,India,4.256,5.32,0.024,0.0
Glass,5.13,10,Germany,8.208,2.565,0.006,5.637
Paper,1.68,5,USA,4.536,2.016,0.001,2.519
Glass,3.93,10,Germany,6.288,1.965,0.005,4.318
Clothes,2.37,10,USA,18.96,2.844,0.003,16.113
E-waste,6.37,100,India,76.44,12.74,0.076,63.624
Glass,8.79,100,USA,14.064,10.548,0.105,3.411
Glass,0.37,50,USA,0.592,0.444,0.002,0.146
Glass,0.67,25,Germany,1.072,0.335,0.002,0.735
Books,5.52,75,USA,13.8,6.624,0.05,7.126
Clothes,7.65,5,USA,61.2,9.18,0.005,52.015
E-waste,6.56,25,India,78.72,13.12,0.02,65.58
E-waste,0.84,25,EU,10.08,0.924,0.003,9.153
Clothes,5.09,5,Germany,40.72,2.545,0.003,38.172
Clothes,5.72,5,EU,45.76,6.292,0.003,39.465
Books,5.74,5,India,14.35,11.48,0.003,2.867
Clothes,6.62,10,EU,52.96,7.282,0.008,45.67
Glass,2.35,25,India,3.76,4.7,0.007,0.0
Paper,2.16,25,Germany,5.832,1.08,0.006,4.746
Plastic,5.72,75,Germany,34.32,2.86,0.051,31.409
Plastic,7.19,100,USA,43.14,8.628,0.086,34.426
Glass,9.41,50,EU,15.056,10.351,0.056,4.649
Glass,1.67,75,USA,2.672,2.004,0.015,0.653
Glass,0.58,10,Germany,0.928,0.29,0.001,0.637
E-waste,8.44,10,USA,101.28,10.128,0.01,91.142
Clothes,3.38,75,EU,27.04,3.718,0.03,23.292
Glass,8.85,5,EU,14.16,9.735,0.005,4.42
Clothes,6.37,5,Germany,50.96,3.185,0.004,47.771
Plastic,5.77,50,India,34.62,11.54,0.035,23.045
Books,4.6,100,USA,11.5,5.52,0.055,5.925
Glass,7.52,50,USA,12.032,9.024,0.045,2.963
E-waste,7.25,10,Germany,87.0,3.625,0.009,83.366
Glass,2.4,25,USA,3.84,2.88,0.007,0.953
Glass,6.95,5,EU,11.12,7.645,0.004,3.471
Glass,4.9,25,Germany,7.84,2.45,0.015,5.375
Glass,4.89,10,India,7.824,9.78,0.006,0.0
Clothes,0.33,50,USA,2.64,0.396,0.002,2.242
Glass,4.14,75,Germany,6.624,2.07,0.037,4.517
Paper,0.9,10,EU,2.43,0.99,0.001,1.439
Paper,4.66,75,USA,12.582,5.592,0.042,6.948
Books,7.71,100,USA,19.275,9.252,0.093,9.93
Books,8.48,50,India,21.2,16.96,0.051,4.189
Paper,5.21,10,USA,14.067,6.252,0.006,7.809
E-waste,3.01,50,India,36.12,6.02,0.018,30.082
Plastic,5.12,75,EU,30.72,5.632,0.046,25.042
Glass,5.77,25,USA,9.232,6.924,0.017,2.291
Plastic,5.24,100,USA,31.44,6.288,0.063,25.089
Glass,8.1,75,EU,12.96,8.91,0.073,3.977
Paper,8.1,5,USA,21.87,9.72,0.005,12.145
Paper,5.7,100,USA,15.39,6.84,0.068,8.482
Plastic,8.41,5,India,50.46,16.82,0.005,33.635
Clothes,7.63,10,India,61.04,15.26,0.009,45.771
Books,8.47,100,Germany,21.175,4.235,0.102,16.838
Clothes,7.46,50,USA,59.68,8.952,0.045,50.683
Clothes,0.98,75,Germany,7.84,0.49,0.009,7.341
Books,9.19,50,EU,22.975,10.109,0.055,12.811
E-waste,5.84,75,EU,70.08,6.424,0.053,63.603
Plastic,6.46,50,India,38.76,12.92,0.039,25.801
Paper,4.21,5,USA,11.367,5.052,0.003,6.312
Clothes,2.71,75,EU,21.68,2.981,0.024,18.675
Paper,9.48,10,USA,25.596,11.376,0.011,14.209
Glass,1.19,10,USA,1.904,1.428,0.001,0.475
Books,8.57,100,EU,21.425,9.427,0.103,11.895
Plastic,1.05,5,India,6.3,2.1,0.001,4.199
Glass,7.61,75,India,12.176,15.22,0.068,0.0
Clothes,4.64,25,USA,37.12,5.568,0.014,31.538
E-waste,0.62,100,India,7.44,1.24,0.007,6.193
Paper,2.18,100,India,5.886,4.36,0.026,1.5
Plastic,8.28,50,EU,49.68,9.108,0.05,40.522
Books,0.38,25,India,0.95,0.76,0.001,0.189
Clothes,2.74,25,EU,21.92,3.014,0.008,18.898
Plastic,2.02,25,USA,12.12,2.424,0.006,9.69
Glass,5.42,75,EU,8.672,5.962,0.049,2.661
Books,6.59,100,USA,16.475,7.908,0.079,8.488
E-waste,4.29,10,India,51.48,8.58,0.005,42.895
Books,7.75,10,USA,19.375,9.3,0.009,10.066
Plastic,8.15,75,Germany,48.9,4.075,0.073,44.752
Books,6.47,100,Germany,16.175,3.235,0.078,12.862
Plastic,5.39,50,USA,32.34,6.468,0.032,25.84
Books,1.56,100,EU,3.9,1.716,0.019,2.165
Paper,9.73,75,Germany,26.271,4.865,0.088,21.318
Clothes,3.3,75,India,26.4,6.6,0.03,19.77
Paper,8.52,10,Germany,23.004,4.26,0.01,18.734
Clothes,1.59,75,EU,12.72,1.749,0.014,10.957
Plastic,4.46,100,India,26.76,8.92,0.054,17.786
Paper,5.94,100,USA,16.038,7.128,0.071,8.839
E-waste,7.87,25,USA,94.44,9.444,0.024,84.972
Books,5.22,50,India,13.05,10.44,0.031,2.579
Books,8.67,100,USA,21.675,10.404,0.104,11.167
Glass,5.45,10,Germany,8.72,2.725,0.007,5.988
E-waste,0.54,10,EU,6.48,0.594,0.001,5.885
Glass,0.23,50,EU,0.368,0.253,0.001,0.114
Clothes,2.89,25,Germany,23.12,1.445,0.009,21.666
Clothes,4.08,10,Germany,32.64,2.04,0.005,30.595
Plastic,6.06,25,USA,36.36,7.272,0.018,29.07
Paper,2.74,75,India,7.398,5.48,0.025,1.893
Paper,8.98,5,Germany,24.246,4.49,0.005,19.751
E-waste,4.37,10,USA,52.44,5.244,0.005,47.191
Glass,2.54,75,India,4.064,5.08,0.023,0.0
Books,1.63,10,EU,4.075,1.793,0.002,2.28
Paper,9.94,75,Germany,26.838,4.97,0.089,21.779
E-waste,3.14,10,EU,37.68,3.454,0.004,34.222
Paper,6.74,100,USA,18.198,8.088,0.081,10.029
Plastic,2.52,75,India,15.12,5.04,0.023,10.057
Books,8.9,50,India,22.25,17.8,0.053,4.397
Glass,3.49,50,India,5.584,6.98,0.021,0.0
Plastic,6.18,50,India,37.08,12.36,0.037,24.683
Plastic,5.64,50,India,33.84,11.28,0.034,22.526
Clothes,5.45,50,USA,43.6,6.54,0.033,37.027
E-waste,4.18,10,USA,50.16,5.016,0.005,45.139
Plastic,9.75,10,EU,58.5,10.725,0.012,47.763
Clothes,9.47,100,India,75.76,18.94,0.114,56.706
Paper,9.33,5,India,25.191,18.66,0.006,6.525
E-waste,8.15,75,Germany,97.8,4.075,0.073,93.652
Glass,6.75,10,EU,10.8,7.425,0.008,3.367
Books,9.03,5,USA,22.575,10.836,0.005,11.734
Paper,0.53,75,Germany,1.431,0.265,0.005,1.161
Glass,8.78,75,USA,14.048,10.536,0.079,3.433
Glass,9.9,75,USA,15.84,11.88,0.089,3.871
Books,1.11,5,USA,2.775,1.332,0.001,1.442
Books,3.31,5,India,8.275,6.62,0.002,1.653
E-waste,1.53,5,India,18.36,3.06,0.001,15.299
E-waste,1.54,5,EU,18.48,1.694,0.001,16.785
Paper,4.08,25,Germany,11.016,2.04,0.012,8.964
Clothes,8.74,5,EU,69.92,9.614,0.005,60.301
Clothes,7.29,10,India,58.32,14.58,0.009,43.731
Clothes,7.94,50,Germany,63.52,3.97,0.048,59.502
Clothes,0.81,75,USA,6.48,0.972,0.007,5.501
E-waste,2.45,75,India,29.4,4.9,0.022,24.478
Paper,6.61,5,EU,17.847,7.271,0.004,10.572
Plastic,2.66,75,USA,15.96,3.192,0.024,12.744
E-waste,3.86,50,USA,46.32,4.632,0.023,41.665
Clothes,2.62,50,EU,20.96,2.882,0.016,18.062
Plastic,2.53,50,India,15.18,5.06,0.015,10.105
Paper,5.72,75,India,15.444,11.44,0.051,3.953
Plastic,4.02,50,USA,24.12,4.824,0.024,19.272
Glass,7.06,10,EU,11.296,7.766,0.008,3.522
Paper,1.26,25,India,3.402,2.52,0.004,0.878
Paper,6.18,5,India,16.686,12.36,0.004,4.322
Clothes,8.41,25,Germany,67.28,4.205,0.025,63.05
Clothes,5.96,10,USA,47.68,7.152,0.007,40.521
Paper,3.01,10,USA,8.127,3.612,0.004,4.511
E-waste,7.69,5,USA,92.28,9.228,0.005,83.047
E-waste,6.11,75,India,73.32,12.22,0.055,61.045
Plastic,9.28,100,Germany,55.68,4.64,0.111,50.929
Glass,3.21,10,EU,5.136,3.531,0.004,1.601
Glass,1.75,100,EU,2.8,1.925,0.021,0.854
Glass,4.22,50,India,6.752,8.44,0.025,0.0
Books,2.67,25,USA,6.675,3.204,0.008,3.463
Paper,2.57,50,Germany,6.939,1.285,0.015,5.639
Books,2.52,5,Germany,6.3,1.26,0.002,5.038
Clothes,2.33,100,India,18.64,4.66,0.028,13.952
E-waste,6.62,10,Germany,79.44,3.31,0.008,76.122
Paper,9.51,75,EU,25.677,10.461,0.086,15.13
E-waste,5.95,25,USA,71.4,7.14,0.018,64.242
Books,8.27,25,USA,20.675,9.924,0.025,10.726
E-waste,0.28,50,India,3.36,0.56,0.002,2.798
Books,7.7,5,EU,19.25,8.47,0.005,10.775
Books,0.32,10,Germany,0.8,0.16,0.0,0.64
Plastic,3.81,50,Germany,22.86,1.905,0.023,20.932
Paper,6.25,75,EU,16.875,6.875,0.056,9.944
E-waste,3.25,25,USA,39.0,3.9,0.01,35.09
E-waste,8.41,25,Germany,100.92,4.205,0.025,96.69
Books,2.61,100,EU,6.525,2.871,0.031,3.623
Plastic,1.21,50,India,7.26,2.42,0.007,4.833
Plastic,4.35,75,USA,26.1,5.22,0.039,20.841
Plastic,3.02,5,USA,18.12,3.624,0.002,14.494
Glass,0.37,25,India,0.592,0.74,0.001,0.0
Glass,5.06,50,EU,8.096,5.566,0.03,2.5
Books,0.93,50,Germany,2.325,0.465,0.006,1.854
Paper,5.12,50,USA,13.824,6.144,0.031,7.649
Plastic,7.91,100,India,47.46,15.82,0.095,31.545
Glass,9.98,75,USA,15.968,11.976,0.09,3.902
E-waste,5.81,25,EU,69.72,6.391,0.017,63.312
Books,6.03,25,Germany,15.075,3.015,0.018,12.042
Glass,4.35,10,EU,6.96,4.785,0.005,2.17
Paper,8.54,100,Germany,23.058,4.27,0.102,18.686
E-waste,6.84,50,USA,82.08,8.208,0.041,73.831
Plastic,4.83,25,Germany,28.98,2.415,0.014,26.551
Plastic,1.71,75,India,10.26,3.42,0.015,6.825
E-waste,1.34,100,Germany,16.08,0.67,0.016,15.394
Clothes,3.2,5,EU,25.6,3.52,0.002,22.078
E-waste,3.91,5,EU,46.92,4.301,0.002,42.617
Paper,9.47,100,USA,25.569,11.364,0.114,14.091
Clothes,2.71,5,EU,21.68,2.981,0.002,18.697
Glass,3.21,100,USA,5.136,3.852,0.039,1.245
Glass,3.21,75,USA,5.136,3.852,0.029,1.255
Paper,0.91,10,USA,2.457,1.092,0.001,1.364
Plastic,9.16,25,USA,54.96,10.992,0.027,43.941
Glass,9.53,10,Germany,15.248,4.765,0.011,10.472
Glass,0.26,75,Germany,0.416,0.13,0.002,0.284
Plastic,2.25,10,Germany,13.5,1.125,0.003,12.372
Clothes,3.62,5,USA,28.96,4.344,0.002,24.614
Plastic,1.74,5,EU,10.44,1.914,0.001,8.525
Glass,6.77,100,USA,10.832,8.124,0.081,2.627
Paper,4.88,25,India,13.176,9.76,0.015,3.401
E-waste,0.22,75,USA,2.64,0.264,0.002,2.374
Plastic,5.08,25,USA,30.48,6.096,0.015,24.369
Glass,1.76,50,Germany,2.816,0.88,0.011,1.925
Paper,1.67,100,Germany,4.509,0.835,0.02,3.654
Clothes,3.4,10,Germany,27.2,1.7,0.004,25.496
Books,6.8,50,USA,17.0,8.16,0.041,8.799
E-waste,6.68,5,Germany,80.16,3.34,0.004,76.816
Glass,6.89,100,Germany,11.024,3.445,0.083,7.496
Paper,1.05,100,India,2.835,2.1,0.013,0.722
E-waste,1.59,10,Germany,19.08,0.795,0.002,18.283
Paper,8.18,75,India,22.086,16.36,0.074,5.652
Clothes,4.27,50,EU,34.16,4.697,0.026,29.437
Books,8.9,50,USA,22.25,10.68,0.053,11.517
Glass,1.51,25,USA,2.416,1.812,0.005,0.599
Paper,8.16,5,India,22.032,16.32,0.005,5.707
Glass,9.22,75,India,14.752,18.44,0.083,0.0
Paper,5.42,100,Germany,14.634,2.71,0.065,11.859
Books,4.44,100,EU,11.1,4.884,0.053,6.163
Paper,7.61,75,Germany,20.547,3.805,0.068,16.674
Clothes,2.75,25,EU,22.0,3.025,0.008,18.967
Paper,1.77,100,India,4.779,3.54,0.021,1.218
Paper,4.35,5,Germany,11.745,2.175,0.003,9.567
Clothes,9.88,5,USA,79.04,11.856,0.006,67.178
Glass,4.06,25,EU,6.496,4.466,0.012,2.018
Books,3.25,10,Germany,8.125,1.625,0.004,6.496
Paper,6.62,5,Germany,17.874,3.31,0.004,14.56
Books,2.48,5,USA,6.2,2.976,0.001,3.223
Plastic,4.95,100,EU,29.7,5.445,0.059,24.196
Books,2.66,50,USA,6.65,3.192,0.016,3.442
Books,3.37,100,Germany,8.425,1.685,0.04,6.7
Plastic,6.64,25,USA,39.84,7.968,0.02,31.852
Plastic,3.49,75,Germany,20.94,1.745,0.031,19.164
Clothes,9.8,50,USA,78.4,11.76,0.059,66.581
Glass,5.4,75,India,8.64,10.8,0.049,0.0
E-waste,9.27,25,EU,111.24,10.197,0.028,101.015
E-waste,9.18,25,EU,110.16,10.098,0.028,100.034
